id;nome;email;senha;ativo;data_cadastro;imagem;imagem_content_type
1;mower;"nAo|@~LqnJ.5$]E'4";zowie;true;2024-08-27T10:03:31;../fake-data/blob/hipster.png;image/png
2;dot loyally;"V._@m./";fast machine;false;2024-08-26T21:09:10;../fake-data/blob/hipster.png;image/png
3;youthfully;"Maw&@Y)>.*;e";puzzle wet-bar;true;2024-08-27T01:18:23;../fake-data/blob/hipster.png;image/png
4;kaleidoscopic than slip;"|_@1sw7.c$g";indeed lightly;true;2024-08-27T05:24:32;../fake-data/blob/hipster.png;image/png
5;for cream an;"=yx,@G.)PrwmA";remarkable unethically veneer;false;2024-08-27T12:08:19;../fake-data/blob/hipster.png;image/png
6;under er bore;"[1)@1_sKL/.YAL+\";phew lighthearted or;false;2024-08-27T00:50:04;../fake-data/blob/hipster.png;image/png
7;ew reheat which;"d\#@J6(.iD0";faithfully thesis gosh;false;2024-08-27T04:18:16;../fake-data/blob/hipster.png;image/png
8;beside;"\nR$}3@93a\.-xk55?";nextX;true;2024-08-27T13:24:25;../fake-data/blob/hipster.png;image/png
9;emphasize joyously;"uYuN@oRaL`=.hpn4(4";ripple;false;2024-08-27T04:35:42;../fake-data/blob/hipster.png;image/png
10;yearningly coaxingly;";X]@Dh.M5'Rj";inasmuch distorted;false;2024-08-26T20:18:40;../fake-data/blob/hipster.png;image/png
